Id,OrderHeaderId,Channel,TotalFreight,PayFreight,ExchangedFreight,ExchangedPoints,CreateTime,CreatedBy,LastUpdateTime,LastUpdatedBy,Remark,IsDeleted,CanDeleted,Status,Version,Sort,JoinExchangePoint,JoinExchangeAmount,OrderMsg,TicketExchangePoint,TicketExchangeAmount,FeeCustomerId,FeeCarrierId,TariffAmount,InvoiceCharge,UnionID,OpenID,TrackerCode,UserReceiveDate,ReturnEffectiveDate,ReturnExpiryDate,ReturnDateType,GrfStatusID,ParentOrderId,TariffRate
1127,8366472,Wechat,8.70,8.70,0.00,0,2016-03-04 11:47:36.707,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1128,8366473,Wechat,21.90,21.90,0.00,0,2016-03-04 11:47:36.733,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1129,8366474,Wechat,23.90,23.90,0.00,0,2016-03-04 11:47:36.767,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1130,8366475,Wechat,12.50,0.50,12.00,60,2016-03-04 11:47:36.793,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1131,8366476,Wechat,30.00,30.00,0.00,0,2016-03-04 11:47:36.827,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1132,8366477,Wechat,0.00,0.00,0.00,0,2016-03-04 11:47:36.857,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1133,8366478,Wechat,11.20,11.20,0.00,0,2016-03-04 11:47:36.883,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1134,8366479,Wechat,28.00,28.00,0.00,0,2016-03-04 11:47:36.910,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1135,8366480,Wechat,19.00,19.00,0.00,0,2016-03-04 11:47:36.937,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1136,8366481,Wechat,14.20,14.20,0.00,0,2016-03-04 11:47:36.967,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1137,8366482,Wechat,18.40,18.40,0.00,0,2016-03-04 11:47:36.993,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1138,8366483,Wechat,0.00,0.00,0.00,0,2016-03-04 11:47:37.023,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1139,8366484,Wechat,20.00,20.00,0.00,0,2016-03-04 11:47:37.050,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1140,8366485,Wechat,34.00,34.00,0.00,0,2016-03-04 11:47:37.077,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1141,8366486,Wechat,14.00,14.00,0.00,0,2016-03-04 11:47:37.107,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1142,8366487,Wechat,8.90,8.90,0.00,0,2016-03-04 11:47:37.137,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1143,8366488,Wechat,11.20,11.20,0.00,0,2016-03-04 11:47:37.173,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1144,8366489,Wechat,8.70,8.70,0.00,0,2016-03-04 11:47:37.200,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1145,8366490,Wechat,29.00,29.00,0.00,0,2016-03-04 11:47:37.230,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1146,8366491,Wechat,19.00,19.00,0.00,0,2016-03-04 11:47:37.257,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1147,8366492,Wechat,14.00,14.00,0.00,0,2016-03-04 11:47:37.287,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1148,8366493,Wechat,18.40,18.40,0.00,0,2016-03-04 11:47:37.313,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1149,8366494,Wechat,36.00,36.00,0.00,0,2016-03-04 11:47:37.343,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1150,8366495,Wechat,14.00,14.00,0.00,0,2016-03-04 11:47:37.370,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1151,8366496,Wechat,0.00,0.00,0.00,0,2016-03-04 11:47:37.400,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1152,8366497,Wechat,12.50,12.50,0.00,0,2016-03-04 11:47:37.427,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1153,8366498,Wechat,11.20,11.20,0.00,0,2016-03-04 11:47:37.450,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1154,8366499,Wechat,14.20,14.20,0.00,0,2016-03-04 11:47:37.480,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1155,8366500,Wechat,8.70,8.70,0.00,0,2016-03-04 11:47:37.520,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1156,8366501,Wechat,28.00,28.00,0.00,0,2016-03-04 11:47:37.543,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
